,Name,Address,Latitude,Longitude
75,Hamlin Town Hall Gym,"1658 Lake Rd N, Hamlin, NY 14464, USA",43.297037,-77.92018259999999
76,Harris Beach LLP Cafeteria,"99 Garnsey Rd, Pittsford, NY 14534, USA",43.0513528,-77.46472519999999
77,Harris-Whalen Park Lower Shelter,"Harris Whalen Park Rd, Penfield, NY 14526, USA",43.1328375,-77.4468167
78,Henrietta Fire District Station 1,"3129 E Henrietta Rd, Henrietta, NY 14467, USA",43.0587387,-77.61329440000002
79,Henrietta Public Library,"625 Calkins Rd, Rochester, NY 14623, USA",43.06817179999999,-77.61716349999999
80,Henrietta Recreation Center,"605 Calkins Rd, Rochester, NY 14623, USA",43.0678868,-77.6184839
81,Henrietta Senior Center,"515 Calkins Rd, Henrietta, NY 14467, USA",43.0679414,-77.6230506
82,Henrietta Town Hall,"475 Calkins Rd, Rochester, NY 14467, USA",43.0675322,-77.6246598
83,Hidden Valley Clubhouse,"199 Hidden Valley Rd, Rochester, NY 14624, USA",43.1339575,-77.71239299999999
84,Highlands at Pittsford Hahnemann Club,"301 Stoutenburgh Ln, Pittsford, NY 14534, USA",43.0872908,-77.500653
85,Hilton Baptist Church,"50 Lake Ave, Hilton, NY 14468, USA",43.2892831,-77.7925417
86,Hilton Fire Dept Exempt Club,"137 South Ave, Hilton, NY 14468, USA",43.284613,-77.7930417
87,Irondequoit Community Center,"450 Skyview Centre Pkwy #200, Rochester, NY 14622, USA",43.198937,-77.5706919
88,Irondequoit Public Library,"1290 Titus Ave, Rochester, NY 14617, USA",43.2117748,-77.58102389999999
89,Irondequoit United Church of Christ,"644 Titus Ave, Rochester, NY 14617, USA",43.2109279,-77.5995118
90,Jewish Community Center,"1200 Edgewood Ave, Rochester, NY 14618, USA",43.0959331,-77.5660615
91,Josana Stadium,"370 Jay St, Rochester, NY 14608, USA",43.1596078,-77.62994239999999
92,Journey Christian Church,"3955 Mt Read Blvd, Rochester, NY 14616, USA",43.23174059999999,-77.6599657
93,Kennedy Towers,"666 S Plymouth Ave, Rochester, NY 14608, USA",43.1425277,-77.6189314
94,Kidanemehret Ethiopian Orthodox Church,"120 Ontario St, Rochester, NY 14605, USA",43.1638069,-77.5938487
95,Kimball Park Lodge,"8000 W Ridge Rd, Brockport, NY 14420, USA",43.234048,-77.90876600000001
96,Kings Bend Park North Lodge,"170 W Jefferson Rd, Pittsford, NY 14534, USA",43.088437,-77.53397799999999
97,Kings Bend Park South Lodge,"170 W Jefferson Rd, Pittsford, NY 14534, USA",43.088437,-77.53397799999999
98,La Grange Recreation Center,"455 La Grange Ave, Rochester, NY 14615, USA",43.1922303,-77.6535006
99,Lake Tower Community Room,"321 Lake Ave, Rochester, NY 14608, USA",43.1704031,-77.6279272
100,Lakeshore Community Church Front Atrium,"3651 Latta Rd, Rochester, NY 14612, USA",43.2523266,-77.7410063
101,Lakeview Community Church Meeting Room,"30 Long Pond Rd, Rochester, NY 14612, USA",43.2895102,-77.6753106
102,Lakeview Highrise TV Room,"4575 Lake Ave, Rochester, NY 14612, USA",43.2546632,-77.612914
103,Legacy at Clover Blossom Front Parlor,"100 McAuley Dr, Rochester, NY 14610, USA",43.1446222,-77.5399642
104,Legacy at Erie Station,"1545 Erie Station Rd, Henrietta, NY 14467, USA",43.03947549999999,-77.6241587
105,Legacy at Park Crescent Front Living Room,"1000 Providence Cir, Rochester, NY 14616, USA",43.2188087,-77.6568339
106,Lexington Court Apts,"6 Christopher Ct, Rochester, NY 14606, USA",43.1782928,-77.6649369
107,Lodge at Sweden Town Park,"4745 Redman Rd, Brockport, NY 14420, USA",43.202425,-77.97243739999999
108,Los Flamboyances Hi Rise Comm Room,"100 Borinquen Plaza, Rochester, NY 14605, USA",43.1704678,-77.6126877
109,Lutheran Church of Our Savior,"2415 Chili Ave, Rochester, NY 14624, USA",43.1280799,-77.697032
110,Lutheran Church of the Incarnate Word Upper Level Church Narthex,"597 East Ave, Rochester, NY 14607, USA",43.1531025,-77.5888109
111,Lyell Branch Library,"956 Lyell Ave, Rochester, NY 14606, USA",43.164928,-77.6498093
112,Mendon Community Center Meeting Room,"167 N Main St, Honeoye Falls, NY 14472, USA",42.9613295,-77.5892722
113,Mendon Fire Hall,"101 Mendon Ionia Rd, Mendon, NY 14506, USA",42.9905322,-77.5026105
114,Monroe Co Parks Admin Building,"171 Reservoir Ave, Rochester, NY 14620, USA",43.131391,-77.60854739999999
115,Mountain Raise United Church of Christ,"2 Mountain Rise, Fairport, NY 14450, USA",43.07234940000001,-77.4573793
116,Mt Olivet Baptist Church,"141 Adams St, Rochester, NY 14608, USA",43.1484481,-77.6195133
117,Mt Vernon Church,"351 Joseph Ave, Rochester, NY 14605, USA",43.1701778,-77.60782259999999
118,Mumford Community Building Meeting Room,"1013 Main St, Mumford, NY 14511, USA",42.9925737,-77.8611147
119,NE Neighborhood Service Center,"500 Norton St, Rochester, NY 14621, USA",43.1867561,-77.61122329999999
120,New Covenant Church Activity Room,"1350 Five Mile Line Rd, Penfield, NY 14526, USA",43.18152660000001,-77.4732592
121,New Light United Methodist Church,"2009 Dewey Ave, Rochester, NY 14615, USA",43.2052293,-77.6393574
122,No. 7 School,"31 Bryan St, Rochester, NY 14613, USA",43.1838969,-77.6381304
123,No. 8 School Cafeteria,"1180 St Paul St, Rochester, NY 14621, USA",43.1768714,-77.62434689999999
124,No. 10 School Gym Foyer,"353 Congress Ave, Rochester, NY 14619, USA",43.1287628,-77.64658759999999
125,No. 12 School Main Entrance,"999 South Ave, Rochester, NY 14620, USA",43.1359302,-77.60877119999999
126,No. 16 School Gym Foyer,"321 Post Ave, Rochester, NY 14619, USA",43.1398563,-77.6492499
127,No. 34 School Gym,"530 Lexington Ave, Rochester, NY 14613, USA",43.1798003,-77.64392180000002
128,No. 35 School Gym Field St Ent,"194 Field St, Rochester, NY 14620, USA",43.138576,-77.5880004
129,No. 39 School Front Common Area,"145 Midland Ave, Rochester, NY 14621, USA",43.1851667,-77.5796731
130,No. 42 School Gym,"3330 Lake Ave, Rochester, NY 14612, USA",43.2309559,-77.6251972
131,No. 44 School Main Ent,"820 Chili Ave, Rochester, NY 14611, USA",43.143314,-77.658534
132,North Greece Church of Christ,"1039 N Greece Rd, Rochester, NY 14626, USA",43.22494469999999,-77.73576249999999
133,Northeast Joint Fire Roseland Station Meeting Room,"1391 Salt Rd, Webster, NY 14580, USA",43.1812355,-77.40111610000001
134,Northridge Church,"2052 St Paul St, Rochester, NY 14621, USA",43.1932407,-77.61719409999999
135,Norton Village Recreation Center,"300 Waring Rd, Rochester, NY 14609, USA",43.1845736,-77.56563609999999
136,Ogden Baptist Church,"721 Washington St, Spencerport, NY 14559, USA",43.1782118,-77.8550856
137,Ogden Town Hall,"269 Ogden Center Rd, Spencerport, NY 14559, USA",43.1702321,-77.8027745
138,Our Lady Queen of Peace Church,"601 Edgewood Ave, Rochester, NY 14618, USA",43.1073113,-77.5641911
139,Parma Town Hall,"1300 Hilton Parma Corners Rd, Hilton, NY 14468, USA",43.2526022,-77.7898381
140,Penfield Community Center Comm Room,"1985 Baird Rd, Penfield, NY 14526, USA",43.1374138,-77.4652674
141,Penfield Town Hall,"3100 Atlantic Ave, Penfield, NY 14526, USA",43.1614954,-77.44821019999999
142,Perinton Community Church,"636 High St Ext, Fairport, NY 14450, USA",43.1000987,-77.41180899999999
143,Perinton Mem VFW Post 8495 Meeting Hall,"300 Macedon Center Rd, Fairport, NY 14450, USA",43.0963862,-77.4233462
144,Perinton Park Community Building Main Entrance,"Perinton Park, 99 O'Connor Rd, Fairport, NY 14450, USA",43.1012625,-77.4577116
145,Perinton Square Mall Center Entrance,"6720 Pittsford Palmyra Rd, Fairport, NY 14450, USA",43.0708829,-77.440906
146,Perinton Town Hall Town Board Room,"1350 Turk Hill Rd, Fairport, NY 14450, USA",43.08257649999999,-77.4308942
147,Pieters Family Learning Center Gym,"1025 Commons Way, Rochester, NY 14623, USA",43.0841548,-77.6062718
148,Pinnacle Place Apts,"919 S Clinton Ave, Rochester, NY 14620, USA",43.140466,-77.5973838
149,Pittsford Community Library Building Meeting Room,"24 State St, Pittsford, NY 14534, USA",43.09050999999999,-77.5134805
150,Pittsford Town Court,"3750 Monroe Ave Suite 950, Pittsford, NY 14534, USA",43.0961383,-77.52494039999999
151,Plymouth Garden Apts,"1400 S Plymouth Ave, Rochester, NY 14611, USA",43.13211450000001,-77.6342372
152,Power House Church of God in Christ,"48 Clifton St, Rochester, NY 14608, USA",43.1504244,-77.6276247
153,PT Pleasant Firemans Assn Main hall,"55 Ewer Ave, Irondequoit, NY 14622, USA",43.2235349,-77.54334430000002
154,Riga Congregational Church Hall,"7057 Chili Riga Center Rd, Churchville, NY 14428, USA",43.0682479,-77.884171
155,Riga Town Hall Court Room,"Riga Town Hall, 6460 Buffalo Rd, Churchville, NY 14428, USA",43.110398,-77.866337
156,RIT Gene Polisseni Center Gate 2 Entrance,"200 Lomb Memorial Dr, Rochester, NY 14623, USA",43.0826459,-77.67460109999999
157,RIT Inn and Conference Center Rear Entrance,"5257 W Henrietta Rd, Henrietta, NY 14467, USA",43.0484804,-77.65871299999999
158,Riverview Manor Front Ent,"60 River St # 1, Rochester, NY 14612, USA",43.2444165,-77.6160742
159,Rochester Academy of Medicine,"1441 East Ave, Rochester, NY 14610, USA",43.1475367,-77.56601669999999
160,Rochester Christian Reformed Church,"2750 Atlantic Ave, Penfield, NY 14526, USA",43.1539891,-77.4815797
161,Rochester Genesee Region Trans Auth,"1372 E Main St, Rochester, NY 14609, USA",43.1612687,-77.5745689
162,Rochester Highlands Comm Room,"47 Green Knolls Dr, Rochester, NY 14620, USA",43.11568339999999,-77.61365839999999
163,Rush United Methodist Church,"6200 Rush Lima Rd, Rush, NY 14543, USA",42.9912335,-77.6382646
164,Rush-Henrietta Transportation Bldg,"1133 Lehigh Station Rd, Henrietta, NY 14467, USA",43.0575971,-77.63874609999999
165,School Without Walls,"480 Broadway, Rochester, NY 14607, USA",43.1476526,-77.60016089999999
166,Seneca Towers,"200 Seth Green Dr, Rochester, NY 14621, USA",43.1880222,-77.6221698
167,Seymour Library Duryea Rm,"161 East Ave, Brockport, NY 14420, USA",43.22074509999999,-77.9295137
168,Solid Rock Church,"1775 East Ave, Rochester, NY 14610, USA",43.14519850000001,-77.5569713
169,Southeast Bible Baptist Church Gym,"1850 Fairport Nine Mile Point Rd, Penfield, NY 14526, USA",43.1473813,-77.4358187
170,Spencerport Bible Church Lounge,"1948 N Union St, Spencerport, NY 14559, USA",43.2085021,-77.7932143
171,Spencerport Fire District Firehouse No. 3,"2588 S Union St, Spencerport, NY 14559, USA",43.16073799999999,-77.803507
172,Spencerport Firemens Exempt,"75 S Union St, Spencerport, NY 14559, USA",43.1941278,-77.8021713
173,St Anne Church Foyer Front Ent,"1600 Mt Hope Ave, Rochester, NY 14620, USA",43.11847179999999,-77.6196835
174,St Charles Borromeo Church,"3003 Dewey Ave, Rochester, NY 14616, USA",43.2241638,-77.64368979999999
175,St John The Evangelist Church,"2400 W Ridge Rd, Rochester, NY 14626, USA",43.2106326,-77.6911901
176,St Johns Chestnut Court Building,"1 Johnsarbor Dr W, Rochester, NY 14620, USA",43.1221967,-77.5999083
177,St Lawrence Church Deacon Hall,"1000 N Greece Rd, Greece, NY 14626, USA",43.2270646,-77.7318178
178,St Paul Blvd Fire House,"433 Cooper Rd, Irondequoit, NY 14617, USA",43.2193648,-77.5995276
179,St Pius X Church,"3032 Chili Ave, Rochester, NY 14624, USA",43.11415420000001,-77.73492519999999
180,St Simons Terrace Apts Comm Room,"360 St Paul St, Rochester, NY 14605, USA",43.1633307,-77.6120387
181,St Theodores Church,"168 Spencerport Rd, Rochester, NY 14606, USA",43.1682433,-77.69526019999999
182,St Thomas More Church,"2617 East Ave, Rochester, NY 14610, USA",43.1337754,-77.5386096
183,Stewart Fire Station,"1105 Whitney Rd, Fairport, NY 14450, USA",43.1080122,-77.43599809999999
184,Summerville Presbyterian Church,"4845 St Paul Blvd, Rochester, NY 14617, USA",43.2461953,-77.59897670000001
185,SUNY Brockport Serc,"321 New Campus Dr, Brockport, NY 14420, USA",43.2084067,-77.9515563
186,Sweden Town Hall Court Room,"18 State St, Brockport, NY 14420, USA",43.2140442,-77.9379119
187,Sweden-Clarkson Community Center,"4927 Lake Rd S, Brockport, NY 14420, USA",43.1954153,-77.9441918
188,The Parish of the Holy Family Parish Life Center,"4100 Lyell Rd, Rochester, NY 14606, USA",43.1663208,-77.7383249
189,Thomas P Ryan Community Center,"530 Webster Ave, Rochester, NY 14609, USA",43.1696168,-77.5710344
190,Transfiguration Lutheran Church,"3760 Culver Rd, Rochester, NY 14622, USA",43.2178522,-77.5550457
191,Trinity Episcopal Church,"3450 W Ridge Rd, Greece, NY 14626, USA",43.2135034,-77.7206897
192,Trinity Lutheran Church,"191 Nichols St, Spencerport, NY 14559, USA",43.1853528,-77.81398930000002
193,Twelve Corners Presbyterian Church,"1200 S Winton Rd, Rochester, NY 14618, USA",43.1213438,-77.5680574
194,Ukrainian Cultural Center of Rochester,"1040 Jackson Rd, Webster, NY 14580, USA",43.2044602,-77.4423654
195,Union Station Pk Lodge End Rock Island Rd,"25 Rock Island Rd, North Chili, NY 14514, USA",43.0918423,-77.79312259999999
196,United Church of Christ,"570 Klem Rd, Webster, NY 14580, USA",43.23168219999999,-77.498068
197,United Church of Pittsford Social Hall,"123 S Main St, Pittsford, NY 14534, USA",43.0821631,-77.52140949999999
198,United Methodist Church of North Chili,"2200 Westside Dr, Rochester, NY 14624, USA",43.1271354,-77.7896798
199,United Methodist Church of Webster,"169 E Main St, Webster, NY 14580, USA",43.2127296,-77.4240282
200,United Way of Greater Rochester,"75 College Ave, Rochester, NY 14607, USA",43.1589987,-77.58750789999999
201,University Tower,"625 University Ave, Rochester, NY 14607, USA",43.1558552,-77.5863887
202,Villages at Unity Village Square Room,"1471 Long Pond Rd, Rochester, NY 14626, USA",43.1961143,-77.7056568
203,Walker Fire Hall,"1420 Walker Lake Ontario Rd, Hilton, NY 14468, USA",43.2998474,-77.8595516
204,Webster Bible Church Lobby,"675 Holt Rd, Webster, NY 14580, USA",43.22917,-77.4476529
205,Webster Christian Reformed Church,"1344 State Rd, Webster, NY 14580, USA",43.2017895,-77.4230018
206,Webster Co Park White House Lodge,"1100 Lake Rd, Webster, NY 14580, USA",43.2601837,-77.4499548
207,Webster Justice Court Building,"1002 Ridge Rd, Webster, NY 14580, USA",43.21098569999999,-77.4579171
208,Webster Parks and Recreation Center,"1350 Chiyoda Dr, Webster, NY 14580, USA",43.2279573,-77.4221252
209,Webster Presbyterian Church,"550 Webster Rd, Webster, NY 14580, USA",43.2390662,-77.42781219999999
210,Webster Public Library,"980 Ridge Rd, Webster, NY 14580, USA",43.2113001,-77.45969099999999
211,Webster Village Community Meeting Center Large Meeting Room,"29 South Ave, Webster, NY 14580, USA",43.211398,-77.43079999999999
212,Wheatland Municipal Bldg Senior Ctr,"22 Main St, Scottsville, NY 14546, USA",43.02012819999999,-77.7496141
213,William Warfield Community Center,"100 William Warfield Dr, Rochester, NY 14605, USA",43.1714733,-77.6100833
