,Addresses,Formatted,Names
80,"Henrietta Recreation Center, 605 Calkins Rd","605 Calkins Rd, Rochester, NY 14623, USA",Henrietta Recreation Center
81,"Henrietta Senior Center, 515 Calkins Rd","515 Calkins Rd, Henrietta, NY 14467, USA",Henrietta Senior Center
82,"Henrietta Town Hall, 475 Calkins Rd","475 Calkins Rd, Rochester, NY 14467, USA",Henrietta Town Hall
83,"Hidden Valley Clubhouse, 199 Hidden Valley Rd","199 Hidden Valley Rd, Rochester, NY 14624, USA",Hidden Valley Clubhouse
84,"Highlands at Pittsford Hahnemann Club, 301 Stoutenburgh Lane","301 Stoutenburgh Ln, Pittsford, NY 14534, USA",Highlands at Pittsford Hahnemann Club
85,"Hilton Baptist Church, 50 Lake Ave","101 Main St, Newport News, VA 23601, USA",Hilton Baptist Church
86,"Hilton Fire Dept Exempt Club, 137 South Ave","137 South Ave, Hilton, NY 14468, USA",Hilton Fire Dept Exempt Club
87,"Irondequoit Community Center, 450 Skyview Centre Parkway Suite 200","450 Skyview Centre Pkwy #200, Rochester, NY 14622, USA",Irondequoit Community Center
88,"Irondequoit Public Library, 1290 Titus Ave","1290 Titus Ave, Rochester, NY 14617, USA",Irondequoit Public Library
89,"Irondequoit United Church of Christ, 644 Titus Ave","644 Titus Ave, Rochester, NY 14617, USA",Irondequoit United Church of Christ
90,"Jewish Community Center, 1200 Edgewood Ave","1200 Edgewood Ave, Rochester, NY 14618, USA",Jewish Community Center
91,"Josana Stadium, 370 Jay St","370 Jay St, Brooklyn, NY 11201, USA",Josana Stadium
92,"Journey Christian Church, 3995 Mt Read Blvd","3955 Mt Read Blvd, Rochester, NY 14616, USA",Journey Christian Church
93,"Kennedy Towers, 666 S Plymouth Ave","666 S Plymouth Ave, Rochester, NY 14608, USA",Kennedy Towers
94,"Kidanemehret Ethiopian Orthodox Church, 120 Ontario St","120 Ontario St, Rochester, NY 14605, USA",Kidanemehret Ethiopian Orthodox Church
95,"Kimball Park Lodge, 8000 West Ridge Rd","8000 W Ridge Rd, Brockport, NY 14420, USA",Kimball Park Lodge
96,"Kings Bend Park North Lodge, 170 West Jefferson Rd","170 W Jefferson Rd, Pittsford, NY 14534, USA",Kings Bend Park North Lodge
97,"Kings Bend Park South Lodge, 170 West Jefferson Rd","170 W Jefferson Rd, Pittsford, NY 14534, USA",Kings Bend Park South Lodge
98,"La Grange Recreation Center, 455 La Grange Ave","455 La Grange Ave, Rochester, NY 14615, USA",La Grange Recreation Center
99,"Lake Tower Community Room, 321 Lake Ave","321 Lake Ave, Rochester, NY 14608, USA",Lake Tower Community Room
100,"Lakeshore Community Church Front Atrium, 3651 Latta Rd","3651 Latta Rd, Rochester, NY 14612, USA",Lakeshore Community Church Front Atrium
101,"Lakeview Community Church Meeting Room, 30 Long Pong Rd","30 Long Pond Rd, Rochester, NY 14612, USA",Lakeview Community Church Meeting Room
102,"Lakeview Highrise TV Room, 4575 Lake Ave","4575 Lake Ave, Rochester, NY 14612, USA",Lakeview Highrise TV Room
103,"Legacy at Clover Blossom Front Parlor, 100 McAuley Drive","100 McAuley Dr, Rochester, NY 14610, USA",Legacy at Clover Blossom Front Parlor
104,"Legacy at Erie Station, 1545 Erie Station Rd","1545 Erie Station Rd, Henrietta, NY 14467, USA",Legacy at Erie Station
105,"Legacy at Park Crescent Front Living Room, 1000 Providence Circle","1000 Providence Cir, Rochester, NY 14616, USA",Legacy at Park Crescent Front Living Room
106,"Lexington Court Apts, 6 Christopher Ct","6 Christopher Ct, Rochester, NY 14606, USA",Lexington Court Apts
107,"Lodge at Sweden Town Park, 4761 Redman Rd","4745 Redman Rd, Brockport, NY 14420, USA",Lodge at Sweden Town Park
108,"Los Flamboyances Hi Rise Comm Room, 100 Borinquen Plaza","100 Borinquen Plaza, Rochester, NY 14605, USA",Los Flamboyances Hi Rise Comm Room
109,"Lutheran Church of Our Savior, 2415 Chili Ave","2415 Chili Ave, Rochester, NY 14624, USA",Lutheran Church of Our Savior
110,"Lutheran Church of the Incarnate Word Upper Level Church Narthex, 597 East Ave","597 East Ave, Rochester, NY 14607, USA",Lutheran Church of the Incarnate Word Upper Level Church Narthex
111,"Lyell Branch Library, 956 Lyell Ave","956 Lyell Ave, Rochester, NY 14606, USA",Lyell Branch Library
112,"Mendon Community Center Meeting Room, 167 North Main St","167 N Main St, Honeoye Falls, NY 14472, USA",Mendon Community Center Meeting Room
113,"Mendon Fire Hall, 101 Mendon Ionia Rd","101 Mendon Ionia Rd, Mendon, NY 14506, USA",Mendon Fire Hall
114,"Monroe Co Parks Admin Building, 171 Reservoir Ave","171 Reservoir Ave, Rochester, NY 14620, USA",Monroe Co Parks Admin Building
115,"Mountain Raise United Church of Christ, 2 Mountain Rise","2 Mountain Rise, Fairport, NY 14450, USA",Mountain Raise United Church of Christ
116,"Mt Olivet Baptist Church, 141 Adams St","141 Adams St, Rochester, NY 14608, USA",Mt Olivet Baptist Church
117,"Mt Vernon Church, 351 Joseph Ave","351 Joseph Ave, Rochester, NY 14605, USA",Mt Vernon Church
118,"Mumford Community Building Meeting Room, 1013 Main St","1013 Main St, Mumford, NY 14511, USA",Mumford Community Building Meeting Room
119,"NE Neighborhood Service Center, 500 Norton St","500 Norton St, Rochester, NY 14621, USA",NE Neighborhood Service Center
120,"New Covenant Church Activity Room, 1350 Five Mile Line Rd","1350 Five Mile Line Rd, Penfield, NY 14526, USA",New Covenant Church Activity Room
121,"New Light United Methodist Church, 2009 Dewey Ave","2009 Dewey Ave, Rochester, NY 14615, USA",New Light United Methodist Church
122,"No. 7 School, 31 Bryan St","31 Bryan St, Rochester, NY 14613, USA",No. 7 School
123,"No. 8 School Cafeteria, 1180 St. Paul St","1180 St Paul St, Rochester, NY 14621, USA",No. 8 School Cafeteria
124,"No. 10 School Gym Foyer, 353 Congress Ave","353 Congress Ave, Rochester, NY 14619, USA",No. 10 School Gym Foyer
125,"No. 12 School Main Entrance, 999 South Ave","999 South Ave, Rochester, NY 14620, USA",No. 12 School Main Entrance
126,"No. 16 School Gym Foyer, 321 Post Ave","321 Post Ave, Rochester, NY 14619, USA",No. 16 School Gym Foyer
127,"No. 34 School Gym, 530 Lexington Ave","530 Lexington Ave, Rochester, NY 14613, USA",No. 34 School Gym
128,"No. 35 School Gym Field St Ent, 194 Field St","194 Field St, Rochester, NY 14620, USA",No. 35 School Gym Field St Ent
129,"No. 39 School Front Common Area, 145 Midland Ave","145 Midland Ave, Rochester, NY 14621, USA",No. 39 School Front Common Area
130,"No. 42 School Gym, 3330 Lake Ave","3330 Lake Ave, Rochester, NY 14612, USA",No. 42 School Gym
131,"No. 44 School Main Ent, 820 Chili Ave","820 Chili Ave, Rochester, NY 14611, USA",No. 44 School Main Ent
132,"North Greece Church of Christ, 1039 North Greece Rd","1039 N Greece Rd, Rochester, NY 14626, USA",North Greece Church of Christ
133,"Northeast Joint Fire Roseland Station Meeting Room, 1391 Salt Rd","1391 Salt Rd, Webster, NY 14580, USA",Northeast Joint Fire Roseland Station Meeting Room
134,"Northridge Church, 2052 St Paul St","2052 St Paul St, Rochester, NY 14621, USA",Northridge Church
135,"Norton Village Recreation Center, 350 Waring Rd","300 Waring Rd, Rochester, NY 14609, USA",Norton Village Recreation Center
136,"Ogden Baptist Church, 721 Washington St","721 Washington St, Spencerport, NY 14559, USA",Ogden Baptist Church
137,"Ogden Town Hall, 269 Ogden Center Rd","269 Ogden Center Rd, Spencerport, NY 14559, USA",Ogden Town Hall
138,"Our Lady Queen of Peace Church, 601 Edgewood Ave","601 Edgewood Ave, Rochester, NY 14618, USA",Our Lady Queen of Peace Church
139,"Parma Town Hall, 1300 Hilton Parma Rd","1300 Hilton Parma Corners Rd, Hilton, NY 14468, USA",Parma Town Hall
140,"Penfield Community Center Comm Room, 1985 Baird Rd","1985 Baird Rd, Penfield, NY 14526, USA",Penfield Community Center Comm Room
141,"Penfield Town Hall, 3100 Atlantic Ave","3100 Atlantic Ave, Penfield, NY 14526, USA",Penfield Town Hall
142,"Perinton Community Church, 636 High St Ext","636 High St Ext, Fairport, NY 14450, USA",Perinton Community Church
143,"Perinton Mem VFW Post 8495 Meeting Hall, 300 Macedon Center Rd","300 Macedon Center Rd, Fairport, NY 14450, USA",Perinton Mem VFW Post 8495 Meeting Hall
144,"Perinton Park Community Building Main Entrance, 99 O'Connor Rd","Perinton Park, 99 O'Connor Rd, Fairport, NY 14450, USA",Perinton Park Community Building Main Entrance
145,"Perinton Square Mall Center Entrance, 6720 Pittsford Palmyra Rd","6720 Pittsford Palmyra Rd, Fairport, NY 14450, USA",Perinton Square Mall Center Entrance
146,"Perinton Town Hall Town Board Room, 1350 Turk Hill Rd","1350 Turk Hill Rd, Fairport, NY 14450, USA",Perinton Town Hall Town Board Room
147,"Pieters Family Learning Center Gym, 1025 Commons Way","1025 Commons Way, Rochester, NY 14623, USA",Pieters Family Learning Center Gym
148,"Pinnacle Place Apts, 919 S Clinton Ave","919 S Clinton Ave, Rochester, NY 14620, USA",Pinnacle Place Apts
149,"Pittsford Community Library Building Meeting Room, 24 State St","24 State St, Pittsford, NY 14534, USA",Pittsford Community Library Building Meeting Room
150,"Pittsford Town Court, 3750 Monroe Ave","3750 Monroe Ave Suite 950, Pittsford, NY 14534, USA",Pittsford Town Court
151,"Plymouth Garden Apts, 1400 South Plymouth Ave","1400 S Plymouth Ave, Rochester, NY 14611, USA",Plymouth Garden Apts
152,"Power House Church of God in Christ, 48 Clifton St","48 Clifton St, Rochester, NY 14608, USA",Power House Church of God in Christ
153,"PT Pleasant Firemans Assn Main hall, 55 Ewer Ave","55 Ewer Ave, Irondequoit, NY 14622, USA",PT Pleasant Firemans Assn Main hall
154,"Riga Congregational Church Hall, 7057 Chili Riga Center Rd","7057 Chili Riga Center Rd, Churchville, NY 14428, USA",Riga Congregational Church Hall
155,"Riga Town Hall Court Room, 6460 Buffalo Rd","Riga Town Hall, 6460 Buffalo Rd, Churchville, NY 14428, USA",Riga Town Hall Court Room
156,"RIT Gene Polisseni Center Gate 2 Entrance, 200 Lomb Memorial Dr","200 Lomb Memorial Dr, Rochester, NY 14623, USA",RIT Gene Polisseni Center Gate 2 Entrance
157,"RIT Inn and Conference Center Rear Entrance, 5257 West Henrietta Rd","5257 W Henrietta Rd, Henrietta, NY 14467, USA",RIT Inn and Conference Center Rear Entrance
158,"Riverview Manor Front Ent, 60 River St","60 River St # 1, Rochester, NY 14612, USA",Riverview Manor Front Ent
159,"Rochester Academy of Medicine, 1441 East Ave","1441 East Ave, Rochester, NY 14610, USA",Rochester Academy of Medicine
160,"Rochester Christian Reformed Church, 2750 Atlantic Ave","2750 Atlantic Ave, Penfield, NY 14526, USA",Rochester Christian Reformed Church
161,"Rochester Genesee Region Trans Auth, 1372 E Main St","1372 E Main St, Rochester, NY 14609, USA",Rochester Genesee Region Trans Auth
162,"Rochester Highlands Comm Room, 47 Green Knolls Dr","47 Green Knolls Dr, Rochester, NY 14620, USA",Rochester Highlands Comm Room
163,"Rush United Methodist Church, 6200 Rush-Lima Rd","6200 Rush Lima Rd, Rush, NY 14543, USA",Rush United Methodist Church
164,"Rush-Henrietta Transportation Bldg, 1133 Lehigh Station Rd","1133 Lehigh Station Rd, Henrietta, NY 14467, USA",Rush-Henrietta Transportation Bldg
165,"School Without Walls, 480 Broadway","480 Broadway, Rochester, NY 14607, USA",School Without Walls
166,"Seneca Towers, 200 Seth Green Dr","200 Seth Green Dr, Rochester, NY 14621, USA",Seneca Towers
167,"Seymour Library Duryea Rm, 161 East Ave","161 East Ave, Brockport, NY 14420, USA",Seymour Library Duryea Rm
168,"Solid Rock Church, 1775 East Ave","1775 East Ave, Rochester, NY 14610, USA",Solid Rock Church
169,"Southeast Bible Baptist Church Gym, 1850 Fairport Nine Mile Point Rd","1850 Fairport Nine Mile Point Rd, Penfield, NY 14526, USA",Southeast Bible Baptist Church Gym
170,"Spencerport Bible Church Lounge, 1984 Union St","1948 N Union St, Spencerport, NY 14559, USA",Spencerport Bible Church Lounge
171,"Spencerport Fire District Firehouse No. 3, 2588 South Union St","2588 S Union St, Spencerport, NY 14559, USA",Spencerport Fire District Firehouse No. 3
172,"Spencerport Firemens Exempt, 75 South Union St","75 S Union St, Spencerport, NY 14559, USA",Spencerport Firemens Exempt
173,"St Anne Church Foyer Front Ent, 1600 Mt Hope Ave","1600 Mt Hope Ave, Rochester, NY 14620, USA",St Anne Church Foyer Front Ent
174,"St Charles Borromeo Church, 3003 Dewey Ave","3003 Dewey Ave, Rochester, NY 14616, USA",St Charles Borromeo Church
175,"St John The Evangelist Church, 2400 West Ridge Rd","2400 W Ridge Rd, Rochester, NY 14626, USA",St John The Evangelist Church
176,"St Johns Chestnut Court Building, 1 Johnsarbor Dr W","1 Johnsarbor Dr W, Rochester, NY 14620, USA",St Johns Chestnut Court Building
177,"St Lawrence Church Deacon Hall, 1000 North Greece Rd","1000 N Greece Rd, Greece, NY 14626, USA",St Lawrence Church Deacon Hall
178,"St Paul Blvd Fire House, 433 Cooper Rd","433 Cooper Rd, Irondequoit, NY 14617, USA",St Paul Blvd Fire House
179,"St Pius X Church, 3032 Chili Ave","3032 Chili Ave, Rochester, NY 14624, USA",St Pius X Church
180,"St Simons Terrace Apts Comm Room, 360 St Paul St","360 St Paul St, Rochester, NY 14605, USA",St Simons Terrace Apts Comm Room
181,"St Theodores Church, 168 Spencerport Rd","168 Spencerport Rd, Rochester, NY 14606, USA",St Theodores Church
182,"St Thomas More Church, 2617 East Ave","2617 East Ave, Rochester, NY 14610, USA",St Thomas More Church
183,"Stewart Fire Station, 1105 Whitney Rd","1105 Whitney Rd, Fairport, NY 14450, USA",Stewart Fire Station
184,"Summerville Presbyterian Church, 4845 St Paul Blvd","4845 St Paul Blvd, Rochester, NY 14617, USA",Summerville Presbyterian Church
185,"SUNY Brockport Serc, 321 New Campus Dr","321 New Campus Dr, Brockport, NY 14420, USA",SUNY Brockport Serc
186,"Sweden Town Hall Court Room, 18 State St","18 State St, Brockport, NY 14420, USA",Sweden Town Hall Court Room
187,"Sweden-Clarkson Community Center, 4927 Lake Rd","4927 Lake Rd S, Brockport, NY 14420, USA",Sweden-Clarkson Community Center
188,"The Parish of the Holy Family Parish Life Center, 4100 Lyell Rd","4100 Lyell Rd, Rochester, NY 14606, USA",The Parish of the Holy Family Parish Life Center
189,"Thomas P Ryan Community Center, 530 Webster Ave","530 Webster Ave, Rochester, NY 14609, USA",Thomas P Ryan Community Center
190,"Transfiguration Lutheran Church, 3760 Culver Rd","3760 Culver Rd, Rochester, NY 14622, USA",Transfiguration Lutheran Church
191,"Trinity Episcopal Church, 3450 West Ridge Rd","3450 W Ridge Rd, Greece, NY 14626, USA",Trinity Episcopal Church
192,"Trinity Lutheran Church, 191 Nichols St","191 Nichols St, Spencerport, NY 14559, USA",Trinity Lutheran Church
193,"Twelve Corners Presbyterian Church, 1200 South Winton Rd","1200 S Winton Rd, Rochester, NY 14618, USA",Twelve Corners Presbyterian Church
194,"Ukrainian Cultural Center of Rochester, 1040 Jackson Rd","1040 Jackson Rd, Webster, NY 14580, USA",Ukrainian Cultural Center of Rochester
195,"Union Station Pk Lodge End Rock Island Rd, 3720 Union St End of Rock Island Rd","25 Rock Island Rd, North Chili, NY 14514, USA",Union Station Pk Lodge End Rock Island Rd
196,"United Church of Christ, 570 Klem Rd","570 Klem Rd, Webster, NY 14580, USA",United Church of Christ
197,"United Church of Pittsford Social Hall, 123 S Main St","123 S Main St, Pittsford, NY 14534, USA",United Church of Pittsford Social Hall
198,"United Methodist Church of North Chili, 2200 Westside Dr","2200 Westside Dr, Rochester, NY 14624, USA",United Methodist Church of North Chili
199,"United Methodist Church of Webster, 169 East Main St","169 E Main St, Webster, NY 14580, USA",United Methodist Church of Webster
200,"United Way of Greater Rochester, 75 College Ave","75 College Ave, Rochester, NY 14607, USA",United Way of Greater Rochester
201,"University Tower, 625 University Ave","625 University Ave, Rochester, NY 14607, USA",University Tower
202,"Villages at Unity Village Square Room, 1471 Long Pond Rd","1471 Long Pond Rd, Rochester, NY 14626, USA",Villages at Unity Village Square Room
203,"Walker Fire Hall, 1420 Walker Lake Ontario Rd","1420 Walker Lake Ontario Rd, Hilton, NY 14468, USA",Walker Fire Hall
204,"Webster Bible Church Lobby, 675 Holt Rd","675 Holt Rd, Webster, NY 14580, USA",Webster Bible Church Lobby
205,"Webster Christian Reformed Church, 1344 State Rd","1344 State Rd, Webster, NY 14580, USA",Webster Christian Reformed Church
206,"Webster Co Park White House Lodge, 1100 Lake Road","1100 Lake Rd, Webster, NY 14580, USA",Webster Co Park White House Lodge
207,"Webster Justice Court Building, 1002 Ridge Rd","1002 Ridge Rd, Webster, NY 14580, USA",Webster Justice Court Building
208,"Webster Parks and Recreation Center, 1350 Chiyoda Dr","1350 Chiyoda Dr, Webster, NY 14580, USA",Webster Parks and Recreation Center
209,"Webster Presbyterian Church, 550 Webster Rd","550 Webster Rd, Webster, NY 14580, USA",Webster Presbyterian Church
210,"Webster Public Library, 980 Ridge Rd","980 Ridge Rd, Webster, NY 14580, USA",Webster Public Library
211,"Webster Village Community Meeting Center Large Meeting Room, 29 South Ave","29 South Ave, Webster, NY 14580, USA",Webster Village Community Meeting Center Large Meeting Room
212,"Wheatland Municipal Bldg Senior Ctr, 22 Main St","22 Main St, Scottsville, NY 14546, USA",Wheatland Municipal Bldg Senior Ctr
213,"William Warfield Community Center, 100 William Warfield Dr","100 William Warfield Dr, Rochester, NY 14605, USA",William Warfield Community Center
