"75 Stutson Street Center, 75 Stutson St"
"Lexington Court Apts, 6 Christopher Ct"
"Lodge at Sweden Town Park, 4761 Redman Rd"
"Los Flamboyances Hi Rise Comm Room, 100 Borinquen Plaza"
"Lutheran Church of Our Savior, 2415 Chili Ave"
"Lutheran Church of the Incarnate Word Upper Level Church Narthex, 597 East Ave"
"Lyell Branch Library, 956 Lyell Ave"
"Mendon Community Center Meeting Room, 167 North Main St"
"Mendon Fire Hall, 101 Mendon Ionia Rd"
"Monroe Co Parks Admin Building, 171 Reservoir Ave"
"Mountain Raise United Church of Christ, 2 Mountain Rise"
"Mt Olivet Baptist Church, 141 Adams St"
"Mt Vernon Church, 351 Joseph Ave"
"Mumford Community Building Meeting Room, 1013 Main St"
"NE Neighborhood Service Center, 500 Norton St"
"New Covenant Church Activity Room, 1350 Five Mile Line Rd"
"New Light United Methodist Church, 2009 Dewey Ave"
"No. 7 School, 31 Bryan St"
"No. 8 School Cafeteria, 1180 St. Paul St"
"No. 10 School Gym Foyer, 353 Congress Ave"
"No. 12 School Main Entrance, 999 South Ave"
"No. 16 School Gym Foyer, 321 Post Ave"
"No. 34 School Gym, 530 Lexington Ave"
"No. 35 School Gym Field St Ent, 194 Field St"
"No. 39 School Front Common Area, 145 Midland Ave"
"No. 42 School Gym, 3330 Lake Ave"
"No. 44 School Main Ent, 820 Chili Ave"
"North Greece Church of Christ, 1039 North Greece Rd"
"Northeast Joint Fire Roseland Station Meeting Room, 1391 Salt Rd"
"Northridge Church, 2052 St Paul St"
"Norton Village Recreation Center, 350 Waring Rd"
"Ogden Baptist Church, 721 Washington St"
"Ogden Town Hall, 269 Ogden Center Rd"
"Our Lady Queen of Peace Church, 601 Edgewood Ave"
"Parma Town Hall, 1300 Hilton Parma Rd"
"Penfield Community Center Comm Room, 1985 Baird Rd"
"Penfield Town Hall, 3100 Atlantic Ave"
"Perinton Community Church, 636 High St Ext"
"Perinton Mem VFW Post 8495 Meeting Hall, 300 Macedon Center Rd"
"Perinton Park Community Building Main Entrance, 99 O'Connor Rd"
"Perinton Square Mall Center Entrance, 6720 Pittsford Palmyra Rd"
"Perinton Town Hall Town Board Room, 1350 Turk Hill Rd"
"Pieters Family Learning Center Gym, 1025 Commons Way"
"Pinnacle Place Apts, 919 S Clinton Ave"
"Pittsford Community Library Building Meeting Room, 24 State St"
"Pittsford Town Court, 3750 Monroe Ave"
"Plymouth Garden Apts, 1400 South Plymouth Ave"
"Power House Church of God in Christ, 48 Clifton St"
"PT Pleasant Firemans Assn Main hall, 55 Ewer Ave"
"Riga Congregational Church Hall, 7057 Chili Riga Center Rd"
"Riga Town Hall Court Room, 6460 Buffalo Rd"
"RIT Gene Polisseni Center Gate 2 Entrance, 200 Lomb Memorial Dr"
"RIT Inn and Conference Center Rear Entrance, 5257 West Henrietta Rd"
"Riverview Manor Front Ent, 60 River St"
"Rochester Academy of Medicine, 1441 East Ave"
"Rochester Christian Reformed Church, 2750 Atlantic Ave"
"Rochester Genesee Region Trans Auth, 1372 E Main St"
"Rochester Highlands Comm Room, 47 Green Knolls Dr"
"Rush United Methodist Church, 6200 Rush-Lima Rd"
"Rush-Henrietta Transportation Bldg, 1133 Lehigh Station Rd"
"School Without Walls, 480 Broadway"
"Seneca Towers, 200 Seth Green Dr"
"Seymour Library Duryea Rm, 161 East Ave"
"Solid Rock Church, 1775 East Ave"
"Southeast Bible Baptist Church Gym, 1850 Fairport Nine Mile Point Rd"
"Spencerport Bible Church Lounge, 1984 Union St"
"Spencerport Fire District Firehouse No. 3, 2588 South Union St"
"Spencerport Firemens Exempt, 75 South Union St"
"St Anne Church Foyer Front Ent, 1600 Mt Hope Ave"
"St Charles Borromeo Church, 3003 Dewey Ave"
"St John The Evangelist Church, 2400 West Ridge Rd"
"St Johns Chestnut Court Building, 1 Johnsarbor Dr W"
"St Lawrence Church Deacon Hall, 1000 North Greece Rd"
"St Paul Blvd Fire House, 433 Cooper Rd"
"St Pius X Church, 3032 Chili Ave"
"St Simons Terrace Apts Comm Room, 360 St Paul St"
"St Theodores Church, 168 Spencerport Rd"
"St Thomas More Church, 2617 East Ave"
"Stewart Fire Station, 1105 Whitney Rd"
"Summerville Presbyterian Church, 4845 St Paul Blvd"
"SUNY Brockport Serc, 321 New Campus Dr"
"Sweden Town Hall Court Room, 18 State St"
"Sweden-Clarkson Community Center, 4927 Lake Rd"
"The Parish of the Holy Family Parish Life Center, 4100 Lyell Rd"
"Thomas P Ryan Community Center, 530 Webster Ave"
"Transfiguration Lutheran Church, 3760 Culver Rd"
"Trinity Episcopal Church, 3450 West Ridge Rd"
"Trinity Lutheran Church, 191 Nichols St"
"Twelve Corners Presbyterian Church, 1200 South Winton Rd"
"Ukrainian Cultural Center of Rochester, 1040 Jackson Rd"
"Union Station Pk Lodge End Rock Island Rd, 3720 Union St End of Rock Island Rd"
"United Church of Christ, 570 Klem Rd"
"United Church of Pittsford Social Hall, 123 S Main St"
"United Methodist Church of North Chili, 2200 Westside Dr"
"United Methodist Church of Webster, 169 East Main St"
"United Way of Greater Rochester, 75 College Ave"
"University Tower, 625 University Ave"
"Villages at Unity Village Square Room, 1471 Long Pond Rd"
"Walker Fire Hall, 1420 Walker Lake Ontario Rd"
"Webster Bible Church Lobby, 675 Holt Rd"
"Webster Christian Reformed Church, 1344 State Rd"
"Webster Co Park White House Lodge, 1100 Lake Road"
"Webster Justice Court Building, 1002 Ridge Rd"
"Webster Parks and Recreation Center, 1350 Chiyoda Dr"
"Webster Presbyterian Church, 550 Webster Rd"
"Webster Public Library, 980 Ridge Rd"
"Webster Village Community Meeting Center Large Meeting Room, 29 South Ave"
"Wheatland Municipal Bldg Senior Ctr, 22 Main St"
"William Warfield Community Center, 100 William Warfield Dr"
